ID,City,Price,Day,Room Type,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km)
223,Amsterdam,€ 331.83,Weekday,Entire home/apt,2,FALSE,0,0,10,98,0,2.62,1.98
224,Amsterdam,€ 420.41,Weekday,Entire home/apt,2,TRUE,0,0,9,94,0,2.14,0.06
225,Amsterdam,€ 774.26,Weekday,Entire home/apt,2,FALSE,0,0,10,96,1,3.25,0.73
226,Amsterdam,"€ 1,126.94",Weekday,Entire home/apt,4,FALSE,1,0,8,90,2,2.89,1.20
227,Amsterdam,€ 208.80,Weekday,Private room,2,FALSE,1,0,8,88,1,10.41,0.47
228,Amsterdam,€ 522.34,Weekday,Private room,4,FALSE,0,0,10,96,2,2.70,1.83
229,Amsterdam,€ 448.53,Weekday,Private room,2,TRUE,0,0,9,95,1,1.22,0.94
230,Amsterdam,€ 204.11,Weekday,Private room,2,FALSE,0,0,10,94,1,10.90,0.20
231,Amsterdam,€ 442.67,Weekday,Private room,2,FALSE,0,0,9,88,1,0.82,0.94
232,Amsterdam,€ 325.50,Weekday,Private room,2,TRUE,1,0,10,95,1,3.25,0.82
233,Amsterdam,"€ 1,351.91",Weekday,Entire home/apt,4,FALSE,0,0,9,97,2,0.61,0.63
234,Amsterdam,€ 583.98,Weekday,Entire home/apt,4,FALSE,0,0,10,100,2,6.81,0.42
235,Amsterdam,€ 614.44,Weekday,Entire home/apt,4,FALSE,0,0,9,98,3,4.06,2.14
236,Amsterdam,€ 279.10,Weekday,Private room,4,FALSE,0,0,9,93,1,7.30,3.03
237,Amsterdam,€ 345.18,Weekday,Private room,2,FALSE,1,0,10,94,1,1.21,0.43
238,Amsterdam,€ 245.82,Weekday,Private room,4,FALSE,0,0,10,99,0,2.86,1.34
239,Amsterdam,€ 522.34,Weekday,Entire home/apt,3,FALSE,0,0,10,97,2,9.46,0.52
240,Amsterdam,€ 303.47,Weekday,Private room,4,FALSE,1,0,5,80,0,3.88,0.53
241,Amsterdam,€ 798.87,Weekday,Entire home/apt,5,FALSE,0,1,9,95,3,3.82,0.72
242,Amsterdam,€ 654.98,Weekday,Private room,2,FALSE,0,0,10,96,1,1.16,0.44
243,Amsterdam,€ 277.46,Weekday,Private room,2,TRUE,1,0,10,98,1,4.05,0.12
244,Amsterdam,€ 498.91,Weekday,Private room,4,TRUE,1,0,10,96,2,3.92,0.20
245,Amsterdam,€ 491.65,Weekday,Entire home/apt,4,FALSE,0,0,10,94,2,3.06,0.46
246,Amsterdam,€ 442.43,Weekday,Private room,2,TRUE,1,0,10,96,1,2.08,2.01
247,Amsterdam,€ 202.70,Weekday,Private room,2,TRUE,1,0,10,98,1,8.33,3.32
248,Amsterdam,€ 258.01,Weekday,Shared room,3,TRUE,1,0,10,98,1,7.17,3.01
249,Amsterdam,€ 245.82,Weekday,Private room,2,TRUE,1,0,10,96,1,3.87,1.15
250,Amsterdam,€ 669.74,Weekday,Entire home/apt,4,FALSE,1,0,9,88,2,2.50,1.97
251,Amsterdam,€ 453.45,Weekday,Entire home/apt,2,FALSE,0,1,9,85,1,2.95,0.88
252,Amsterdam,€ 706.54,Weekday,Entire home/apt,4,FALSE,1,0,9,89,3,2.53,1.95
