ID,City,Price,Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
30742,Rome, € 161.55 ,179.55,3.98,541.16,11.78
30743,Rome, € 242.21 ,957.02,21.21,1627.43,35.43
30744,Rome, € 205.04 ,857.28,19.00,2272.95,49.49
30745,Rome, € 179.79 ,319.85,7.09,869.10,18.92
30746,Rome, € 115.49 ,567.83,12.58,1343.06,29.24
30747,Rome, € 97.96 ,255.94,5.67,614.76,13.39
30748,Rome, € 154.30 ,785.59,17.41,2098.90,45.70
30749,Rome, € 152.20 ,439.05,9.73,1085.08,23.63
30750,Rome, € 71.54 ,284.51,6.30,735.63,16.02
30751,Rome, € 184.46 ,702.33,15.56,1763.47,38.40
30752,Rome, € 208.78 ,527.59,11.69,1578.46,34.37
30753,Rome, € 109.41 ,332.07,7.36,812.64,17.69
30754,Rome, € 205.27 ,903.89,20.03,1433.83,31.22
30755,Rome, € 207.61 ,289.86,6.42,796.72,17.35
30756,Rome, € 251.33 ,660.96,14.65,1672.37,36.41
30757,Rome, € 153.37 ,211.46,4.69,593.02,12.91
30758,Rome, € 149.86 ,328.22,7.27,905.29,19.71
30759,Rome, € 164.82 ,561.16,12.44,2347.87,51.12
30760,Rome, € 126.72 ,205.84,4.56,527.40,11.48
30761,Rome, € 103.80 ,199.54,4.42,521.89,11.36
30762,Rome, € 334.32 ,826.91,18.32,1895.03,41.26
30763,Rome, € 85.33 ,161.38,3.58,460.58,10.03
30764,Rome, € 126.72 ,242.90,5.38,667.36,14.53
30765,Rome, € 173.01 ,111.97,2.48,365.62,7.96
30766,Rome, € 270.97 ,278.66,6.18,698.66,15.21
30767,Rome, € 189.14 ,799.72,17.72,1758.29,38.28
30768,Rome, € 158.98 ,808.17,17.91,1942.05,42.28
30769,Rome, € 207.61 ,868.42,19.24,1705.81,37.14
30770,Rome, € 158.98 ,843.50,18.69,1964.34,42.77
30771,Rome, € 213.22 ,762.43,16.90,2065.33,44.97
30772,Rome, € 158.98 ,863.80,19.14,1942.86,42.30
30773,Rome, € 184.23 ,258.96,5.74,702.56,15.30
30774,Rome, € 268.39 ,335.71,7.44,1022.93,22.27
30775,Rome, € 409.37 ,876.66,19.43,2500.89,54.45
